Expenditure category,Expenditure category,Expenditure category,Expenditure category,Expenditure category,2020-03,2020-03
4,"Tools, hardware, outdoor equipment and supplies(5)",0.874,0.3,0.4,91.602,91.057
5,"Tools, hardware and supplies(4)(5)",0.241,–,0.7,99.638,99.638
5,Outdoor equipment and supplies(5),0.447,-0.2,1.6,87.878,87.257
4,Housekeeping supplies(4),0.882,0.7,-0.3,190.279,190.279
5,Household cleaning products(4)(5),0.347,1.1,0.8,121.468,121.468
5,Household paper products(4)(5),0.218,-0.8,0.6,177.763,177.763
5,Miscellaneous household products(4)(5),0.318,-0.5,–,117.825,117.825
3,Apparel,2.916,–,-1.6,123.815,121.99
4,Men's and boys' apparel,0.74,0.6,-0.5,119.09,117.805
5,Men's apparel,0.601,2.3,2.1,122.359,120.853
6,"Men's suits, sport coats, and outerwear",0.113,-5.1,-4.7,107.27,105.402
6,"Men's underwear, nightwear, swimwear, and accessories(4)",0.166,-2.6,–,161.888,161.888
6,Men's shirts and sweaters(5),0.169,1.2,-2,75.692,74.096
6,Men's pants and shorts,0.146,6.2,6.6,122.108,121.716
5,Boys' apparel,0.139,3.4,-4,104.624,104.941
4,Women's and girls' apparel,1.203,–,-3.1,106.796,104.073
5,Women's apparel,1,–,-4,108.686,105.684
6,Women's outerwear,0.067,-5.5,-6.7,97.69,98.046
6,Women's dresses,0.11,-6.2,-12.8,113.973,106.342
6,Women's suits and separates(5),0.513,-4.7,-5.5,74.646,72.057
6,"Women's underwear, nightwear, swimwear, and accessories(5)",0.3,-2.5,-1.4,107.258,106.497
5,Girls' apparel,0.203,-3.1,4,97.564,96.101
4,Footwear,0.678,–,-0.5,136.592,135.651
5,Men's footwear(4),0.235,-3.6,-1.7,138.063,138.063
5,Boys' and girls' footwear,0.143,-4.5,-1.9,158.009,157.345
5,Women's footwear,0.3,-2.1,0.7,125.024,124.073
4,Infants' and toddlers' apparel,0.133,–,-10,112.504,111.905
4,Jewelry and watches(9),0.162,2,1.2,171.237,172.617
5,Watches(4)(9),0.039,2.4,1.8,143.381,143.381
5,Jewelry(9),0.123,2.7,2.5,168.042,167.107
3,Transportation commodities less motor fuel(11),6.903,-0.4,-0.1,105.299,104.428
4,New vehicles,3.75,-0.4,-0.5,147.124,146.287
5,New cars and trucks(5)(6),,-0.4,-0.5,101.956,101.377
6,New cars(6),,-0.8,0,143.517,142.843
6,New trucks(13)(6),,-0.8,-0.7,156.543,155.607
4,Used cars and trucks,2.522,1.3,1.4,140.689,138.717
4,Motor vehicle parts and equipment(4),0.396,-0.2,1.4,148.19,148.19
5,Tires(4),0.251,-0.2,0,125.377,125.377
5,Vehicle accessories other than tires(4)(5),0.146,–,2.6,180.216,180.216
6,Vehicle parts and equipment other than tires(4)(6),,1.8,4.1,170.771,170.771
6,"Motor oil, coolant, and fluids(4)(6)",,-5.2,-2.3,396.931,396.931
3,Medical care commodities,1.62,1,0.6,384.498,383.665
4,Medicinal drugs(11),1.547,1.3,0.6,125.914,125.689
5,Prescription drugs,1.171,1.5,0.5,533.885,531.509
5,Nonprescription drugs(4)(11),0.376,1.6,0.8,96.565,96.565
4,Medical equipment and supplies(4)(11),0.072,1,1.3,101.093,101.093
3,Recreation commodities(11),2.038,-0.8,-1.1,79.206,78.984
4,Video and audio products(11),0.273,0.3,-7.2,37.08,37.075
5,Televisions,0.096,1.8,-16.8,1.384,1.389
5,Other video equipment(5),0.042,-1.4,-2.2,9.656,9.576
5,Audio equipment(4),0.079,4.2,0.9,26.999,26.999
5,Recorded music and music subscriptions(4)(5),0.045,0.8,-3.9,79.764,79.764
4,Pets and pet products(4),0.651,-0.7,0.9,205.207,205.207
5,Pet food(4)(5)(6),,-0.3,1.7,156.25,156.25
5,"Purchase of pets, pet supplies, accessories(4)(5)(6)",,-1.7,0.6,118.424,118.424
4,Sporting goods,0.594,-2,-1.1,112.053,111.468
5,Sports vehicles including bicycles(4),0.357,-2.3,-0.7,153.566,153.566
5,Sports equipment,0.227,-1.4,-2,77.527,77.458
4,Photographic equipment and supplies,0.027,-1.1,11.3,57.384,57.759
5,Film and photographic supplies(4)(5)(6),,,,,
5,Photographic equipment(5)(6),,-1.8,1.9,23.875,24.054
4,Recreational reading materials(4),0.118,-1.1,2.8,263.738,263.738
5,Newspapers and magazines(4)(5),0.066,2.4,10.5,195.683,195.683
5,Recreational books(4)(5),0.05,-1.6,-1.9,97.037,97.037
4,Other recreational goods(5),0.375,-0.2,-6.5,33.918,33.665
5,Toys,0.29,-0.3,-7.3,29.664,29.378
6,"Toys, games, hobbies and playground equipment(5)(6)",,-0.4,-8.4,37.121,36.608
5,"Sewing machines, fabric and supplies(4)(5)",0.022,–,–,94.722,94.722
5,Music instruments and accessories(4)(5),0.047,2,–,105.216,105.216
3,Education and communication commodities(11),0.516,-1.2,-4.2,69.475,69.504
4,Educational books and supplies,0.107,0.2,-2,671.048,670.813
5,College textbooks(4)(14)(6),,-2.7,-1.7,231.129,231.129
4,Information technology commodities(11),0.409,-1.1,-5.1,49.722,49.753
5,"Computers, peripherals, and smart home assistants(7)",0.298,-1.1,-2.4,38.706,38.74
5,Computer software and accessories(4)(5),0.019,-1.2,-11.2,27.477,27.477
5,"Telephone hardware, calculators, and other consumer information items(5)",0.091,1.2,-11.2,14.565,14.563
3,Alcoholic beverages,1.026,0.7,2,255.66,255.307
4,Alcoholic beverages at home,0.575,0.7,1.5,208.219,207.692
5,"Beer, ale, and other malt beverages at home",0.221,–,3.6,236.893,236.628
5,Distilled spirits at home,0.093,-0.2,-0.2,194.605,193.795
6,Whiskey at home(4)(6),,-1.8,-1.1,207.491,207.491
6,"Distilled spirits, excluding whiskey, at home(4)(6)",,1,-0.1,190.477,190.477
5,Wine at home,0.261,0.9,0.4,171.972,171.507
4,Alcoholic beverages away from home(4),0.451,0,1.3,359.743,359.743
5,"Beer, ale, and other malt beverages away from home(4)(5)(6)",,-0.2,0,176.064,176.064
5,Wine away from home(4)(5)(6),,–,2.4,193.479,193.479
5,Distilled spirits away from home(4)(5)(6),,0.2,2.1,195.015,195.015
3,Other goods(11),1.484,-0.4,–,116.967,116.941
4,Tobacco and smoking products,0.586,1.2,5.4,1162.66,1162.951
5,Cigarettes(5),0.509,1.3,5.8,477.891,477.972
5,Tobacco products other than cigarettes(4)(5),0.059,–,2.8,283.696,283.696
4,Personal care products(4),0.693,-1.1,0.9,161.018,161.018
5,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",0.372,-0.6,1.4,103.852,103.852
5,"Cosmetics, perfume, bath, nail preparations and implements(4)",0.313,-1.9,-0.7,181.669,181.669
4,Miscellaneous personal goods(5),0.205,2.9,0,77.002,76.822
5,"Stationery, stationery supplies, gift wrap(6)",,-0.6,3.9,157.643,156.979
5,Infants' equipment(4)(8)(6),,16.1,–,78.282,78.282
2,Services less energy services,59.455,0,2.8,343.99,343.834
3,Shelter,33.194,0,3,324.615,324.57
4,Rent of shelter(15),32.825,0.1,3,338.549,338.532
5,Rent of primary residence,7.782,–,3.7,339.519,339.611
5,Lodging away from home(5),1.011,–,-6.9,157.565,155.208
6,"Housing at school, excluding board(15)",0.117,–,–,570.643,571.604
6,Other lodging away from home including hotels and motels,0.894,–,-7.6,319.437,313.94
5,Owners' equivalent rent of residences(15),24.032,0.3,3.2,332.864,332.974
6,Owners' equivalent rent of primary residence(15),22.826,0.3,3.2,332.904,333.014
5,Tenants' and household insurance(4)(5),0.369,-1,-1.1,150.753,150.753
4,Water and sewer and trash collection services(5),1.086,–,–,250.359,250.181
5,Water and sewerage maintenance,0.795,0.4,–,580.394,579.832
5,Garbage and trash collection(4)(13),0.291,0,3.2,495.288,495.288
4,Household operations(4)(5),0.877,0.1,5.4,199.308,199.308
5,Domestic services(4)(5),0.29,–,0.8,172.336,172.336
5,Gardening and lawncare services(4)(5),,,,,
5,"Moving, storage, freight expense(4)(5)",0.088,-2.4,1.2,173.819,173.819
5,Repair of household items(4)(5),0.116,0.5,6.2,271.169,271.169
4,Medical care services,7.228,0.8,5.7,557.889,556.398
5,Professional services,3.63,0.3,1.6,386.691,386.478
6,Physicians' services,1.804,0.3,1.4,386.483,386.622
6,Dental services,0.988,1,3,506.285,503.691
6,Eyeglasses and eye care(4)(9),0.366,–,0.8,192.006,192.006
6,Services by other medical professionals(4)(9),0.472,–,0.8,240.707,240.707
5,Hospital and related services,2.4,0.7,4.3,916.649,912.915
6,Hospital services(16),2.208,0.8,4.6,351.35,349.824
7,Inpatient hospital services(16)(6),,0.6,–,340.909,339.635
7,Outpatient hospital services(9)(6),,1,4,772.073,769.127
6,Nursing homes and adult day services(16),0.123,0.3,–,240.157,239.37
6,Care of invalids and elderly at home(4)(8),0.069,3,3.4,127.609,127.609
5,Health insurance(4)(8),1.199,1.3,20.5,176.799,176.799
4,Transportation services,5.418,–,-0.8,321.61,321.625
5,Leased cars and trucks(4)(14),0.642,-0.7,–,84.83,84.83
5,Car and truck rental(5),0.12,–,3.6,122.708,124.521
5,Motor vehicle maintenance and repair(4),1.079,0.2,3.2,304.131,304.131
6,Motor vehicle body work(4),0.057,-0.2,–,319.578,319.578
6,Motor vehicle maintenance and servicing(4),0.625,1.2,–,276.441,276.441
6,Motor vehicle repair(4)(5),0.338,0,2.6,184.825,184.825
5,Motor vehicle insurance,1.7,0.6,1.4,579.462,576.941
5,Motor vehicle fees(4)(5),0.572,–,2.7,196.743,196.743
6,State motor vehicle registration and license fees(4)(5),0.297,–,2.8,184.576,184.576
6,Parking and other fees(4)(5),0.26,–,2.6,216.153,216.153
7,Parking fees and tolls(5)(6),,–,2.5,243.289,243.053
7,Automobile service clubs(4)(5)(6),,9.9,–,122.599,122.599
5,Public transportation,1.305,–,-8.2,237.553,238.737
6,Airline fares,0.82,–,-11.6,232.113,233.583
6,Other intercity transportation,0.177,–,-6.7,150.147,149.968
7,Intercity bus fare(4)(7)(6),,-16.3,–,139.797,139.797
7,Intercity train fare(4)(7)(6),,,,,
7,Ship fare(4)(5)(6),,-1.4,-8.1,61.143,61.143
6,Intracity transportation(4),0.304,-1.1,1.1,325.612,325.612
7,Intracity mass transit(4)(11)(6),,0,1.8,130.941,130.941
4,Recreation services(11),3.769,0.7,2.6,127.441,127.047
5,Video and audio services(11),1.243,0.4,2.9,131.204,130.015
6,Cable and satellite television service(13),1.162,0.7,3.5,495.647,490.842
6,"Video discs and other media, including rental of video(4)(5)",0.081,0.8,–,69.544,69.544
7,Video discs and other media(4)(5)(6),,1.3,-12.6,33.84,33.84
7,Rental of video discs and other media(4)(5)(6),,2.2,2,136.147,136.147
5,Pet services including veterinary(5),0.548,0.3,–,259.258,259.095
6,Pet services(4)(5)(6),,-0.4,3.3,200.489,200.489
6,Veterinarian services(5)(6),,0.5,2.5,273.358,273.019
5,Photographers and photo processing(4)(5),0.045,0.2,1.1,122.544,122.544
6,Photographer fees(4)(5)(6),,-0.3,3,125.485,125.485
6,Photo processing(4)(5)(6),,-0.6,-3.2,113.962,113.962
5,Other recreation services(5),1.932,1.1,2.2,175.805,175.8
6,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(4)(5)",0.698,1.1,3,147.256,147.256
6,Admissions,0.7,2.3,1.6,397.663,397.631
7,"Admission to movies, theaters, and concerts(4)(5)(6)",,0.3,–,190.094,190.094
7,Admission to sporting events(4)(5)(6),,3.7,2.3,232.141,232.141
6,Fees for lessons or instructions(4)(9),0.212,0,0.3,321.432,321.432
4,Education and communication services(11),6.23,–,–,112.478,112.647
5,"Tuition, other school fees, and childcare",2.912,–,2.3,774.185,776.491
6,College tuition and fees,1.569,–,1.7,874.617,877.865
6,Elementary and high school tuition and fees,0.424,0.5,2.7,882.049,886.019
6,Day care and preschool(12),0.764,0.1,–,310.546,310.537
6,Technical and business school tuition and fees(5),0.036,–,2.1,256.245,256.727
5,Postage and delivery services(5),0.112,0.2,3.1,203.278,200.753
6,Postage,0.102,0.1,–,320.396,316.297
6,Delivery services(5),0.01,-1.4,-2,322.28,319.519
5,Telephone services(4)(5),2.293,0.3,–,90.416,90.416
6,Wireless telephone services(4)(5),1.891,0,-0.1,46.295,46.295
6,Land-line telephone services(4)(11),0.402,0.1,6.9,127.995,127.995
5,Internet services and electronic information providers(5),0.901,-0.6,2.2,78.061,78.239
4,Other personal services(4)(11),1.654,0.1,3,127.687,127.687
5,Personal care services(4),0.669,0.1,–,278.442,278.442
6,Haircuts and other personal care services(4)(5),0.669,0.1,–,169.895,169.895
5,Miscellaneous personal services,0.986,0,2.9,457.608,457.644
6,Legal services(4)(9),0.251,0,–,369.233,369.233
6,Funeral expenses(4)(9),0.14,0.3,1.6,341.245,341.245
6,Laundry and dry cleaning services(4)(5),0.219,0.1,3,179.985,179.985
6,Apparel services other than laundry and dry cleaning(4)(5),0.03,2.4,5.6,207.22,207.22
6,Financial services(9),0.233,0,9.1,373.578,373.743
7,Checking account and other bank services(4)(5)(6),,4.7,5.4,176.076,176.076
7,Tax return preparation and other accounting fees(4)(5)(6),,2,13.8,262.909,262.909
,,,,,,
0,Special aggregate indexes,,,,,
,,,,,,
1,All items less food,86.212,-0.7,1.5,257.382,257.214
1,All items less shelter,66.806,-1.1,0.8,235.184,234.98
1,All items less food and shelter,53.018,-1.4,0.5,228.099,227.875
1,"All items less food, shelter, and energy",46.501,-0.2,1.3,235.539,234.781
1,"All items less food, shelter, energy, and used cars and trucks",43.979,–,1.5,241.387,240.764
1,All items less medical care,91.152,-0.7,1.2,245.778,245.671
1,All items less energy,93.483,0,2.1,265.896,265.44
1,Commodities,37.45,-1,-0.3,184.364,184.067
2,"Commodities less food, energy, and used cars and trucks",17.718,-0.5,-0.3,145.767,145.051
2,Commodities less food,23.662,-3.2,-1.6,150.257,149.913
2,Commodities less food and beverages,22.636,-3.3,-1.8,146.714,146.372
1,Services,62.55,-0.2,2.7,331.021,331.029
2,Services less rent of shelter(15),29.724,-0.3,2.2,347.979,347.951
2,Services less medical care services,55.322,-0.1,2.3,313.845,313.936
1,Durables,10.683,-0.4,–,104.703,104.105
1,Nondurables,26.767,-2.5,-0.4,225.113,225.53
2,Nondurables less food,12.979,-4.9,-2.7,193.597,194.427
2,Nondurables less food and beverages,11.953,-5.3,-3,189.714,190.615
2,"Nondurables less food, beverages, and apparel",9.037,-3.8,-3.3,234.822,237.607
2,Nondurables less food and apparel,10.063,-3.4,-2.9,235.665,238.156
1,Housing,42.149,0,2.4,270.273,270.292
1,Education and communication(5),6.746,–,–,139.199,139.396
2,Education(5),3.019,–,2.1,269.45,270.221
2,Communication(5),3.726,–,1.3,73.719,73.737
3,Information and information processing(5),3.614,–,1.2,69.622,69.666
3,"Information technology, hardware and services(17)",1.321,-0.3,-0.4,7.354,7.367
1,Recreation(5),5.807,0.3,1,122.265,121.899
2,Video and audio(5),1.517,0.3,1.6,106.466,105.672
2,"Pets, pet products and services(5)",1.199,-0.2,2.2,180.452,180.4
2,Photography(5),0.073,-0.7,–,76.305,76.491
1,Food and beverages,14.814,0.2,1.9,262.32,262.183
2,Domestically produced farm food,6.343,0.5,1.1,252.974,252.959
1,Other services,11.653,0.4,2.4,365.516,365.443
1,Apparel less footwear,2.238,-2.1,-1.9,116.39,114.4
1,Fuels and utilities,4.341,-0.8,-0.2,241.16,242.519
2,Household energy,3.255,-1.1,-1.2,196.998,198.53
1,Medical care,8.848,0.5,4.9,515.605,514.275
1,Transportation,15.582,-4.5,-4,203.854,204.062
2,Private transportation,14.277,-2.8,-4.2,200.626,200.763
3,New and used motor vehicles(5),7.268,-0.4,0.3,99.527,98.768
1,Utilities and public transportation,8.941,-1.4,0.1,216.968,217.986
1,Household furnishings and operations,4.613,-0.1,0.3,124.469,124.017
1,Other goods and services,3.139,-0.1,2.9,461.495,461.516
2,Personal care(4),2.552,-0.2,2.3,238.175,238.175
,,,,,,
,Footnotes:,,,,,
,"(1) The 'effect' of an item category is a measure of that item's contribution to the All items price change. For example, if the Food index had an effect of 0.40, and the All items index rose 1.2 percent, then the increase in food prices contributed 0.40 / 1.2, or 33.3 percent, to that All items increase.  Said another way, had food prices been unchanged for that month, or year, the change in the All items index would have been 1.2 percent minus 0.40, or 0.8 percent.  Effects can be negative as well.  For example, if the effect of food was a negative 0.1, and the All items index rose 0.5 percent, the All items index actually would have been 0.1 percent higher (or 0.6 percent) had food prices been unchanged.  Since food prices fell while prices overall were rising, the contribution of food to the All items price change was negative (in this case, -0.1 / 0.5, or minus 20 percent).",,,,,
,"(2) A statistic's margin of error is often expressed as its point estimate plus or minus two standard errors.  For example, if a CPI category rose 0.6 percent, and its standard error was 0.15 percent, the margin of error on this item's 1-month percent change would be 0.6 percent, plus or minus 0.3 percent.  If a 12-month percent change rose 2.6 percent, and its standard error was 0.25 percent, the margin of error on this item's 12-month percent change would be 2.6 percent, plus or minus 0.5 percent.",,,,,
